Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1993,26.10,26.00,25.90,25.10,22.50,22.70,22.00,22.40,22.50,22.90,24.80,24.90
1994,25.90,27.00,26.70,24.90,23.70,22.80,22.20,21.40,21.30,22.80,23.70,24.80
1995,25.10,26.40,26.10,24.40,24.20,23.50,22.50,23.10,22.50,23.30,24.60,24.80
1996,25.90,26.20,26.70,25.20,24.60,23.80,22.40,22.30,22.10,23.50,24.80,25.60
1997,25.80,27.10,25.90,25.10,23.10,21.70,21.80,21.10,21.60,23.10,24.10,24.90
1998,25.80,25.10,25.00,24.60,23.00,22.50,21.50,22.10,22.10,24.10,25.70,26.70
1999,26.50,26.50,26.70,26.10,24.00,23.10,23.10,22.70,22.20,23.30,24.80,26.80
2000,26.40,26.90,26.60,25.60,24.10,22.70,21.90,22.00,23.20,23.20,24.10,26.20
2001,27.00,26.30,26.40,25.00,23.80,23.60,22.40,22.40,22.40,22.90,24.20,24.80
2002,25.50,26.30,25.90,25.60,23.50,23.00,22.60,21.90,22.40,23.00,25.50,24.90
2003,26.70,26.30,25.90,25.10,23.80,22.50,22.80,22.60,23.20,23.00,23.90,25.30
2004,26.30,26.70,26.70,26.80,25.00,22.80,22.00,21.80,22.20,23.70,23.70,24.90
2005,25.90,26.20,25.90,25.10,23.70,22.70,22.00,21.80,22.40,23.10,24.00,24.90
2006,25.90,26.20,26.00,25.10,23.80,22.80,22.10,21.80,22.40,23.00,24.00,24.80
2007,25.80,26.20,25.90,25.10,23.90,22.80,22.00,21.90,22.40,23.00,24.00,24.80
2008,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.10,24.00,24.80
2009,25.80,26.30,25.90,25.20,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
2010,25.80,26.20,25.90,25.10,23.80,22.70,22.10,21.90,22.50,23.00,24.00,24.90
2011,25.80,26.20,25.90,25.10,23.80,22.80,22.00,21.80,22.50,23.00,24.10,24.90
2012,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.10,24.80
2013,25.80,26.20,25.90,25.10,23.80,22.80,22.00,21.80,22.40,23.10,24.00,24.90
2014,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
2015,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
2016,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.90,22.40,23.10,24.00,24.90
2017,25.90,26.30,25.90,25.10,23.80,22.80,22.10,21.80,22.40,23.00,24.00,24.80
2018,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.90
2019,25.90,26.20,25.90,25.10,23.80,22.70,22.00,21.90,22.40,23.00,24.00,24.80
2020,25.80,26.20,25.90,25.10,23.90,22.70,22.00,21.80,22.50,23.00,24.00,24.90
2021,25.80,26.20,25.90,25.10,23.80,22.80,22.10,21.90,22.50,23.10,24.00,24.90
