Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1981,9.86,10.51,7.38,6.56,4.28,2.96,3.17,2.93,3.71,6.74,8.02,8.70
1982,11.83,10.61,9.02,7.38,5.22,1.90,0.80,2.10,3.76,5.09,7.26,9.60
1983,10.52,9.35,8.54,6.94,4.16,2.51,2.84,3.49,4.13,5.94,8.22,9.72
1984,9.79,9.54,8.80,6.86,1.82,1.19,0.53,2.57,4.69,5.66,8.22,9.43
1985,11.96,11.71,8.05,6.55,3.68,3.09,3.37,4.13,5.11,6.10,8.60,10.02
1986,10.73,9.31,8.21,5.93,3.09,2.38,2.93,3.29,3.99,6.26,7.00,9.16
1987,10.11,10.17,9.24,6.98,4.71,3.39,2.55,2.32,3.45,6.14,8.42,9.36
1988,9.23,10.25,9.67,6.02,4.94,3.57,2.56,2.03,4.53,5.35,8.03,8.57
1989,10.02,10.46,8.84,6.38,4.58,2.82,2.97,3.01,3.79,6.49,8.18,9.35
1990,9.76,10.98,9.05,5.50,4.77,3.07,3.43,2.86,3.80,6.50,6.95,8.41
1991,10.51,10.02,8.53,6.66,4.21,2.41,1.73,2.58,3.71,5.40,7.36,7.57
1992,10.97,9.17,8.20,6.76,3.25,1.65,1.10,2.93,3.89,5.64,7.57,9.67
1993,9.56,10.44,9.02,6.05,4.40,1.89,2.94,3.83,4.72,6.55,8.13,8.80
1994,10.37,9.42,8.72,6.76,3.49,2.38,1.46,3.39,3.68,5.01,7.37,8.70
1995,9.56,10.01,8.08,7.44,4.94,1.83,0.73,1.32,3.79,5.99,7.56,9.61
1996,9.26,9.30,8.94,6.46,5.69,3.10,2.94,3.27,5.27,6.03,7.73,9.00
1997,10.37,8.91,8.96,6.46,3.96,2.91,1.65,2.91,3.19,5.66,7.36,8.09
1998,9.86,10.01,9.47,7.58,5.12,4.20,3.96,3.87,3.89,6.54,7.81,8.90
1999,10.05,10.10,8.64,7.28,4.58,2.33,2.99,2.84,3.61,6.51,8.52,8.89
2000,9.89,9.51,8.18,6.92,4.66,2.71,1.97,2.74,2.59,5.46,6.93,8.15
2001,9.54,9.36,8.14,6.76,4.37,3.24,1.00,2.29,4.09,6.23,6.94,9.39
2002,9.79,10.35,7.32,6.60,2.47,1.37,2.07,2.40,4.09,4.99,6.71,9.61
2003,9.33,9.97,8.64,6.56,5.35,2.61,3.77,3.61,4.19,5.40,6.80,8.38
2004,10.74,11.05,9.46,6.82,4.83,4.52,2.45,3.09,4.14,5.87,8.00,9.77
2005,9.66,11.31,8.54,7.16,3.74,1.90,2.70,2.64,5.03,5.56,7.36,8.54
2006,10.20,9.72,9.20,6.66,5.43,2.81,2.67,2.88,3.79,6.36,7.05,9.00
2007,9.28,9.21,8.74,6.71,3.78,2.71,1.84,3.22,4.58,5.84,6.59,8.69
2008,10.05,10.86,9.51,6.10,3.96,3.16,2.55,1.77,4.90,6.27,7.81,9.92
2009,10.30,9.93,9.24,6.80,4.29,3.85,2.70,2.84,4.49,5.24,5.77,8.55
2010,9.96,8.54,8.64,6.86,5.22,3.14,2.37,3.17,4.19,6.56,7.64,8.21
2011,9.87,10.44,9.19,6.48,5.04,3.18,2.74,2.42,4.01,6.14,7.93,10.03
2012,11.03,8.80,9.30,6.21,4.27,2.33,2.42,3.93,4.77,5.90,8.03,7.78
2013,10.80,9.64,8.72,8.14,4.70,4.22,3.28,2.29,3.61,6.23,7.11,8.55
2014,9.03,9.86,8.19,6.46,4.64,3.32,2.75,3.56,3.98,6.02,7.37,8.82
2015,9.56,9.83,9.61,6.92,5.04,3.39,2.70,2.77,3.24,5.38,7.59,8.43
2016,9.98,9.91,9.78,5.80,3.87,4.36,3.19,2.96,4.70,6.66,7.92,9.11
2017,9.86,10.56,8.64,6.69,4.91,2.54,3.95,3.70,4.65,5.95,7.18,8.96
2018,10.54,11.07,8.82,6.74,4.50,2.71,2.08,3.76,3.79,5.31,7.82,9.93
2019,9.55,9.71,9.07,6.96,4.64,3.36,3.09,2.61,3.73,5.84,7.36,9.44
2020,10.15,10.35,9.91,7.57,5.05,3.06,1.06,2.73,4.34,6.33,8.61,9.21
2021,10.06,10.77,9.24,7.67,4.53,3.32,3.73,3.71,5.06,6.57,7.82,9.96
