Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1995,27.50,27.50,27.70,27.60,27.20,27.20,27.20,26.70,27.10,27.00,27.60,27.70
1996,27.70,27.80,27.60,27.80,26.60,27.30,27.20,26.60,26.90,27.10,27.70,28.10
1997,27.90,28.20,27.50,28.00,27.30,26.50,26.80,26.20,26.50,27.40,27.80,28.00
1998,27.90,27.80,28.10,27.80,27.60,27.20,26.60,26.60,26.70,26.90,28.40,28.20
1999,27.20,27.20,27.70,27.70,27.30,27.00,27.30,27.00,27.00,26.80,27.60,28.00
2000,27.90,28.00,27.60,27.90,27.80,27.50,26.90,26.80,27.20,27.10,27.70,28.00
2001,28.00,28.00,27.60,28.00,28.00,27.30,26.90,26.90,27.10,27.20,27.90,28.30
2002,28.30,28.40,27.90,28.00,28.10,27.60,27.10,26.40,27.40,26.90,27.80,28.10
2003,28.10,27.90,28.10,28.00,28.10,26.80,26.80,26.00,26.90,27.00,27.40,27.80
2004,27.70,27.80,27.60,27.60,27.60,27.40,26.70,26.90,27.00,27.20,27.50,28.30
2005,28.40,28.50,28.40,28.10,27.80,26.80,26.60,26.60,27.60,27.60,28.00,28.00
2006,27.30,27.40,27.80,28.30,27.90,27.40,26.30,26.80,27.00,26.90,27.60,28.10
2007,28.40,28.10,27.60,27.90,27.50,27.80,27.80,27.30,27.90,27.60,27.70,27.90
2008,27.50,27.90,27.60,27.50,27.00,27.20,26.40,26.60,27.00,27.30,27.80,28.30
2009,28.00,28.00,27.80,27.50,27.60,27.00,26.90,26.80,26.80,26.90,27.50,27.70
2010,28.10,28.10,27.90,28.20,28.40,28.00,27.20,27.10,27.50,27.10,27.20,27.20
2011,26.70,26.70,27.40,27.90,27.90,27.60,27.50,26.60,27.10,27.40,27.10,27.60
2012,27.20,27.10,27.40,27.30,27.10,27.00,26.80,26.90,27.10,27.40,27.80,28.00
2013,27.60,27.80,27.30,28.00,27.80,27.70,26.80,27.20,27.20,26.90,27.60,27.90
2014,27.80,27.90,27.80,27.40,27.30,27.10,26.00,26.20,27.50,27.40,27.50,27.80
2015,28.00,28.20,28.10,27.50,27.40,26.80,26.50,25.90,26.60,26.70,27.70,27.90
2016,28.40,29.20,28.20,27.70,27.70,27.40,26.90,26.80,27.10,27.60,27.90,28.00
2017,28.00,27.40,28.00,28.10,28.00,27.40,27.20,27.00,27.50,27.40,27.70,27.80
2018,27.70,27.70,27.60,27.40,27.70,27.50,26.90,26.60,27.60,27.40,27.90,28.10
2019,27.70,27.90,28.10,28.20,27.50,27.70,27.40,27.10,27.30,27.70,27.50,28.00
2020,27.80,28.00,28.20,28.30,28.30,27.80,27.40,27.50,27.20,27.40,27.70,27.90
2021,27.90,27.30,27.60,27.70,27.80,27.10,27.60,26.40,27.60,27.60,27.90,28.00
